,asphalt,concrete,paving_stones,sett,unpaved
145,95.31,80.13,95.4,94.04,94.48
146,95.81,77.56,94.17,96.33,95.09
147,97.15,73.08,93.25,97.71,93.87
148,98.66,66.03,92.94,97.71,91.41
149,93.3,83.33,95.4,97.25,95.09
150,96.65,77.56,95.71,94.5,94.48
151,97.15,78.21,94.79,93.12,91.41
152,96.82,77.56,94.79,94.5,90.18
153,94.97,80.13,94.79,95.87,90.8
154,97.99,71.15,93.25,95.87,92.64
155,95.14,81.41,95.4,95.41,92.02
156,97.15,71.79,95.09,95.87,90.8
157,95.64,78.85,94.79,94.95,93.87
158,96.98,76.28,95.4,93.12,93.25
159,93.47,79.49,95.71,94.04,96.93
160,95.64,80.13,94.17,95.41,96.32
161,95.48,82.69,94.79,95.87,93.25
162,96.98,71.79,95.71,93.12,95.71
163,95.81,80.13,95.71,94.95,95.71
164,95.64,79.49,95.09,97.71,92.64
165,96.98,73.08,94.79,97.25,91.41
166,96.98,73.72,95.09,96.79,92.02
167,96.48,78.85,95.09,96.79,93.25
168,93.8,82.69,95.09,97.25,93.87
169,98.16,74.36,94.17,96.79,91.41
170,96.98,77.56,93.87,97.71,92.02
171,96.65,78.21,93.87,97.71,92.02
172,96.82,77.56,93.87,97.71,93.25
173,94.81,79.49,95.71,91.74,95.09
174,93.63,79.49,95.71,93.58,96.32
175,95.81,78.21,95.4,94.5,93.87
176,95.98,76.28,96.01,95.41,95.71
177,95.98,76.92,96.01,91.74,95.71
178,93.63,82.05,94.48,96.33,96.32
179,95.64,78.85,94.48,96.79,95.71
180,95.64,78.85,94.48,96.79,95.71
181,95.64,78.21,95.71,92.66,96.32
182,94.81,80.77,95.4,93.12,96.32
183,95.81,78.21,95.71,94.04,95.71
184,96.65,77.56,95.09,97.25,96.32
185,96.48,77.56,95.09,97.25,96.32
186,96.48,78.85,95.4,97.25,95.09
187,96.31,77.56,94.17,97.71,95.09
188,96.31,77.56,94.17,97.71,95.09
189,96.31,77.56,94.17,97.71,95.09
190,96.48,76.92,94.48,97.71,94.48
191,96.65,77.56,94.17,97.71,94.48
192,96.65,77.56,94.17,97.71,94.48
193,96.65,77.56,94.17,97.71,94.48
194,96.65,78.85,94.17,97.25,94.48
195,96.65,78.85,94.17,97.25,94.48
196,96.65,78.85,94.17,97.25,94.48
197,96.48,78.85,94.48,97.25,93.87
198,96.48,78.85,94.48,97.25,93.87
199,96.48,78.21,94.48,97.25,93.87
200,96.48,78.85,94.48,97.25,93.87
